EmployeeID,Name,Department,Region,Gender,Age,Salary,JoiningDate,PerformanceScore,Sales,Salary_per_year_experience,Category_salary,is_outlier
4711,Employee_4711,Marketing,West,Female,34.0,43820.0,2027-11-24,4.0,42204.0,-21910.0,Low,False
692,Employee_692,Marketing,South,Male,20.0,58688.0,2016-11-22,3.0,28439.0,6520.888888888889,Medium,False
66,Employee_66,Finance,East,Male,27.0,46289.0,2015-03-07,2.0,14275.0,4628.9,Low,False
3427,Employee_3427,HR,East,Male,21.0,105535.0,2024-05-19,5.0,37333.0,105535.0,High,False
4821,Employee_4821,Sales,North,Male,25.0,75939.0,2028-03-13,4.0,22727.0,-25313.0,Medium,False
394,Employee_394,Sales,North,Female,51.0,113422.0,2016-01-29,3.0,47606.0,12602.444444444445,High,False
1425,Employee_1425,IT,South,Female,58.0,52505.0,2018-11-25,3.0,48104.0,7500.714285714285,Medium,False
643,Employee_643,Marketing,East,Female,22.0,115641.0,2016-10-04,5.0,18725.0,12849.0,High,False
2836,Employee_2836,Sales,West,Male,47.0,95696.0,2022-10-06,2.0,24782.941200242472,31898.666666666668,Medium,False
1739,Employee_1739,Sales,East,Female,40.0,59602.0,2019-10-05,5.0,17512.0,9933.666666666666,Medium,False
2946,Employee_2946,HR,West,Male,50.0,31236.0,2023-01-24,4.0,12132.0,15618.0,Low,False
2068,Employee_2068,Finance,South,Female,20.0,84841.0,2020-08-29,5.0,28645.0,16968.2,Medium,False
3348,Employee_3348,Marketing,South,Male,29.0,62969.0,2024-03-01,2.0,22028.0,62969.0,Medium,False
531,Employee_531,HR,South,Male,21.0,95843.0,2016-06-14,2.0,21604.0,10649.222222222223,Medium,False
4302,Employee_4302,Marketing,West,Female,39.0,109421.0,2026-10-11,1.0,3111.0,-109421.0,High,False
829,Employee_829,HR,East,Male,29.0,47970.0,2017-04-08,4.0,9121.0,5996.25,Low,False
1205,Employee_1205,IT,South,Female,21.0,83046.0,2018-04-19,5.0,26992.0,11863.714285714286,Medium,False
180,Employee_180,Sales,South,Male,29.0,47333.0,2015-06-29,3.0,24626.0,4733.3,Low,False
2766,Employee_2766,Marketing,North,Female,41.0,76308.0,2022-07-28,2.0,47210.0,25436.0,Medium,False
1778,Employee_1778,Sales,South,Male,53.0,106441.0,2019-11-13,4.0,3966.0,17740.166666666668,High,False
4928,Employee_4928,IT,East,Female,45.0,50110.0,2028-06-28,4.0,4355.0,-16703.333333333332,Medium,False
492,Employee_492,Marketing,West,Male,26.0,90482.0,2016-05-06,1.0,20698.0,10053.555555555555,Medium,False
4654,Employee_4654,Sales,North,Male,34.0,69435.0,2027-09-28,3.0,4876.0,-34717.5,Medium,False
34,Employee_34,Sales,South,Female,25.0,49928.0,2015-02-03,4.0,41583.0,4992.8,Low,False
3023,Employee_3023,Marketing,West,Female,34.0,86126.0,2023-04-11,5.0,29858.0,43063.0,Medium,False
3621,Employee_3621,HR,South,Male,23.0,81663.0,2024-11-29,1.0,27916.0,81663.0,Medium,False
486,Employee_486,IT,East,Female,28.0,31112.0,2016-04-30,4.0,25280.0,3456.8888888888887,Low,False
80,Employee_80,Finance,South,Male,27.0,95470.0,2015-03-21,4.0,24782.941200242472,9547.0,Medium,False
1345,Employee_1345,HR,East,Female,46.0,79008.0,2018-09-06,1.0,1002.0,11286.857142857143,Medium,False
578,Employee_578,Finance,West,Female,36.0,115008.0,2016-07-31,5.0,48966.0,12778.666666666666,High,False
1176,Employee_1176,Sales,East,Male,47.0,90496.0,2018-03-21,3.0,40864.0,12928.0,Medium,False
1488,Employee_1488,Finance,East,Male,34.0,40886.0,2019-01-27,2.0,4161.0,6814.333333333333,Low,False
498,Employee_498,Sales,South,Female,40.0,101246.0,2016-05-12,1.0,31008.0,11249.555555555555,High,False
4103,Employee_4103,HR,West,Male,55.0,49851.0,2026-03-26,1.0,42981.0,-49851.0,Low,False
1145,Employee_1145,Marketing,West,Female,32.0,88735.0,2018-02-18,5.0,4174.0,12676.42857142857,Medium,False
3735,Employee_3735,IT,East,Male,22.0,85820.0,2025-03-23,5.0,17665.0,inf,Medium,False
4238,Employee_4238,Sales,West,Female,38.0,108033.0,2026-08-08,3.0,3206.0,-108033.0,High,False
3244,Employee_3244,HR,East,Female,33.0,95729.0,2023-11-18,5.0,37055.0,47864.5,Medium,False
1236,Employee_1236,Marketing,East,Female,39.0,39524.0,2018-05-20,1.0,8349.0,5646.285714285715,Low,False
4569,Employee_4569,Marketing,South,Male,58.0,77136.0,2027-07-05,3.0,23904.0,-38568.0,Medium,False
4268,Employee_4268,HR,East,Female,43.0,89439.0,2026-09-07,2.0,715.0,-89439.0,Medium,False
625,Employee_625,HR,South,Female,24.0,54232.0,2016-09-16,3.0,23224.0,6025.777777777777,Medium,False
1630,Employee_1630,Finance,North,Female,50.0,99815.0,2019-06-18,1.0,17790.0,16635.833333333332,Medium,False
200,Employee_200,Finance,East,Male,58.0,70854.0,2015-07-19,2.0,30261.0,7085.4,Medium,False
3614,Employee_3614,Marketing,North,Male,21.0,54090.0,2024-11-22,4.0,37067.0,54090.0,Medium,False
1989,Employee_1989,Sales,West,Female,27.0,74488.0,2020-06-11,1.0,15877.0,14897.6,Medium,False
2345,Employee_2345,HR,North,Male,38.0,111610.0,2021-06-02,2.0,38100.0,27902.5,High,False
3264,Employee_3264,HR,South,Male,23.0,72636.0,2023-12-08,2.0,25673.0,36318.0,Medium,False
1906,Employee_1906,Marketing,South,Female,45.0,53674.0,2020-03-20,5.0,45980.0,10734.8,Medium,False
766,Employee_766,Finance,West,Female,34.0,35443.0,2017-02-04,3.0,28030.0,4430.375,Low,False
804,Employee_804,Marketing,North,Male,22.0,91072.0,2017-03-14,4.0,12596.0,11384.0,Medium,False
1502,Employee_1502,HR,South,Female,23.0,89004.0,2019-02-10,1.0,7601.0,14834.0,Medium,False
1771,Employee_1771,Finance,West,Male,29.0,64930.0,2019-11-06,4.0,23770.0,10821.666666666666,Medium,False
107,Employee_107,IT,South,Female,48.0,42651.0,2015-04-17,2.0,31747.0,4265.1,Low,False
2965,Employee_2965,HR,East,Female,23.0,60825.0,2023-02-12,3.0,48674.0,30412.5,Medium,False
839,Employee_839,IT,South,Female,29.0,105246.0,2017-04-18,4.0,11324.0,13155.75,High,False
3972,Employee_3972,IT,North,Female,21.0,38727.0,2025-11-15,3.0,22851.0,inf,Low,False
706,Employee_706,Finance,East,Female,39.0,88434.0,2016-12-06,2.0,38513.0,9826.0,Medium,False
4151,Employee_4151,Marketing,East,Male,26.0,114565.0,2026-05-13,4.0,12479.0,-114565.0,High,False
3180,Employee_3180,Sales,West,Male,42.0,115439.0,2023-09-15,2.0,3448.0,57719.5,High,False
4777,Employee_4777,Finance,West,Male,33.0,72083.0,2028-01-29,3.0,11877.0,-24027.666666666668,Medium,False
